id,name,Geschlecht,Geburtsjahr,Type
1,Thales Deutschland,NA,2000,2
2,Hensoldt,NA,2017,2
3,Kongsberg Gruppe,NA,1814,2
4,MTU Aero Engines,NA,1936,2
5,Rheinmetall,NA,1889,2
6,Diehl Defence,NA,1905,2
7,Safran,NA,2005,2
8,Leonardo,NA,1951,2
9,Airbus,NA,2014,2
10,Christoph Ruffner,1,NA,3
